route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access,hdt_classification,hdt_suitable,hdt_priority,speed_limit_hdt,major_route,route_description,num_segments,consolidated,original_segments,estimated_hours,estimated_fuel_liters,route_id
Bengaluru-Mysuru Service lane,NH275;EC34,trunk,4.39,Short (<100km),71.26,0.8591,Good,True,TN_to_KA,BENGALURU,12.8981,77.4633,12.8971,77.4617,2.0,40.0,asphalt,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",5,True,5,0.05,0.7,138
Rajiv Gandhi IT Expressway,OMR,primary,4.3,Short (<100km),67.78,0.9192,Good,True,Within_TN,Chennai,13.0066,80.2474,12.9999,80.2484,4.0,,asphalt,,,expressway,True,medium,100,,"State Highways (SH), HDT accessible",13,True,13,0.04,0.7,139
Chennai - Tiruthani - Renigunta Road,SHU91,primary,4.22,Short (<100km),60.29,0.725,Good,True,Within_TN,CHENNAI,13.1367,79.9253,13.1432,79.9087,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",9,True,9,0.07,0.7,140
Hogenakkal – Pennagaram – Dharmapuri – Tirupattur Road,SH60,primary,4.19,Short (<100km),56.51,0.4624,Good,True,Within_TN,"TIRUPATTUR, DHARMAPURI",12.4688,78.5346,12.4764,78.5475,2.0,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",9,True,9,0.07,0.7,141
Varanasi - Kanniyakumari Road (Old NH7),SHU71,primary,4.08,Short (<100km),58.56,0.5498,Good,True,TN_to_KA,Krishnagiri,12.5204,78.221,12.5358,78.2041,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",8,True,8,0.07,0.7,142
Kanakapura Road,NH948,primary,4.03,Short (<100km),61.95,0.6884,Good,True,TN_to_KA,Industrial corridor route,12.5928,77.4335,12.5941,77.4337,2.0,50.0,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",4,True,4,0.07,0.7,143
Velachery Bypass Road,SH48C,primary,3.42,Short (<100km),67.34,0.8968,Good,True,Within_TN,Chennai,12.9915,80.2195,12.9916,80.2196,2.0,50.0,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",10,True,10,0.06,0.6,144
Arumbakkam Road,O1013,primary,3.3,Short (<100km),60.35,0.6141,Good,True,Within_TN,Industrial corridor route,13.2355,79.6974,13.2124,79.7064,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.06,0.5,145
Dabaspete - Hosur Highway,NH648,primary,3.28,Short (<100km),63.53,0.759,Good,True,TN_to_KA,HOSUR → Industrial corridor route,13.1933,77.7814,13.1931,77.7809,2.0,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",8,True,8,0.05,0.5,146
Bengaluru Honnavara Road,SH33,primary,2.9,Short (<100km),59.9,0.5984,Good,True,TN_to_KA,BENGALURU → Industrial corridor route → BANGALORE,13.3381,77.1014,13.3388,77.0973,,,concrete,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",10,True,10,0.05,0.5,147
Grand Northern Trunk Road,NH16,primary,2.77,Short (<100km),67.97,0.919,Good,True,Within_TN,Chennai,13.1446,80.2196,13.1522,80.2097,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.05,0.5,148
Bengaluru Honnavara Road,NH206,primary,2.74,Short (<100km),59.92,0.597,Good,True,TN_to_KA,BENGALURU → BANGALORE,13.3388,77.0973,13.3457,77.0891,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",2,True,2,0.05,0.5,149
Delhigate Road,MDR798,primary,2.68,Short (<100km),57.36,0.4945,Good,True,Within_TN,Vellore → Ranipet,12.9119,79.3271,12.8992,79.3472,,,asphalt,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",1,True,1,0.04,0.4,150
